Device_Name,Model_Number,Manufacturer,Manual_Version,Publication_Date,Device_Class,Regulatory_Approval_ID,Patient_Population,Indications_for_Use,Contraindications,Sterilization_Method,Number_of_Warnings,Number_of_Cautions,Device_Lifetime_Years,Device_Weight_kg,Max_Operating_Temperature_C,combined_text
Defibrillator,Model 8520,ResMed,Rev. 1.2,2017-11-01,Class I,NDA720792,All,Used for intraoperative sterilization monitoring during complex laparoscopic surgeries.,Avoid use in patients with respiratory failure or uncontrolled severe hypertension.,Not Applicable,22,26,14.0,18.7,27.0,Device Name: Defibrillator. Model: Model 8520. Manufacturer: ResMed. Indications: Used for intraoperative sterilization monitoring during complex laparoscopic surgeries.. Contraindications: Avoid use in patients with respiratory failure or uncontrolled severe hypertension..
Ultrasound Scanner,STE275,Steris,Rev. 8.1,2022-07-21,Class III,Q783218,Infant (0-2),Intended for symptom relief evaluation in rehabilitation medicine for critical illness recovery.,Do not use if structural defects is present or incision is infected.,Single-Use Sterile,9,5,10.0,16.8,32.0,Device Name: Ultrasound Scanner. Model: STE275. Manufacturer: Steris. Indications: Intended for symptom relief evaluation in rehabilitation medicine for critical illness recovery.. Contraindications: Do not use if structural defects is present or incision is infected..
Ultrasound Scanner,Model 2282,3M Healthcare,Rev. 7.8,2015-08-03,Class II,PMA172589,Adult (>65),Designed for pacemaker implantation facilitation in telemedicine and remote patient monitoring.,Not suitable for use during microwave diathermy or X-ray.,Ethylene Oxide (EtO),10,6,4.0,15.35,26.0,Device Name: Ultrasound Scanner. Model: Model 2282. Manufacturer: 3M Healthcare. Indications: Designed for pacemaker implantation facilitation in telemedicine and remote patient monitoring.. Contraindications: Not suitable for use during microwave diathermy or X-ray..
Ultrasound Scanner,Max184,Hologic,Version 13,2022-05-30,Class IIb,CE5598,Adult (18-65),Indicated for real-time intracranial pressure assessment in emergency department triage protocols.,None,Autoclave,3,4,7.0,0.68,18.0,Device Name: Ultrasound Scanner. Model: Max184. Manufacturer: Hologic. Indications: Indicated for real-time intracranial pressure assessment in emergency department triage protocols.. Contraindications: None.
Orthopedic Implant,A-5320,IDEXX Laboratories,Rev. 5.9,2023-01-31,Class I,NDA390429,Geriatric,Indicated for blood gas analysis optimization in sleep medicine centers for respiratory disorders.,Do not use if structural defects is present or incision is infected.,Single-Use Sterile,6,10,14.0,0.17,40.0,Device Name: Orthopedic Implant. Model: A-5320. Manufacturer: IDEXX Laboratories. Indications: Indicated for blood gas analysis optimization in sleep medicine centers for respiratory disorders.. Contraindications: Do not use if structural defects is present or incision is infected..
Anesthesia Machine,Max683,Johnson & Johnson,Rev. 6.9,2017-12-28,Class IIb,BLA867028,Infant (0-2),Intended for surgical intervention delivery in palliative care settings for terminal patients.,Not recommended for patients with peripheral vascular disease or severe active infections.,Not Applicable,12,21,8.0,92.04,23.0,Device Name: Anesthesia Machine. Model: Max683. Manufacturer: Johnson & Johnson. Indications: Intended for surgical intervention delivery in palliative care settings for terminal patients.. Contraindications: Not recommended for patients with peripheral vascular disease or severe active infections..
Infusion Pump,A-8042,Cardinal Health,v5.1,2021-03-20,Class III,HC-981554,Geriatric,Intended for assessment guidance during minimally invasive endoscopic procedures.,Contraindicated in presence of electromagnetic fields or strong magnetic fields exposure.,Pre-Sterilized,14,13,11.0,6.5,26.0,Device Name: Infusion Pump. Model: A-8042. Manufacturer: Cardinal Health. Indications: Intended for assessment guidance during minimally invasive endoscopic procedures.. Contraindications: Contraindicated in presence of electromagnetic fields or strong magnetic fields exposure..
Catheter,Plus116,Abbott,Rev. 5.3,2015-08-04,Class III,H174696,Geriatric,Intended for measurement support in cardiac catheterization laboratory environments.,Contraindicated in patients with pacemakers or unable to follow instructions.,Chemical Sterilization,4,3,8.0,3.26,38.0,Device Name: Catheter. Model: Plus116. Manufacturer: Abbott. Indications: Intended for measurement support in cardiac catheterization laboratory environments.. Contraindications: Contraindicated in patients with pacemakers or unable to follow instructions..
Defibrillator,Pro279,Siemens Healthineers,Rev. 10.0,2018-01-11,Class II,NMPA-380281,Adult (>65),Designed for wound irrigation optimization in chronic disease management programs.,Contraindicated in patients with hepatic dysfunction or severe skin allergies.,Hydrogen Peroxide Plasma,20,15,5.0,5.3,19.0,Device Name: Defibrillator. Model: Pro279. Manufacturer: Siemens Healthineers. Indications: Designed for wound irrigation optimization in chronic disease management programs.. Contraindications: Contraindicated in patients with hepatic dysfunction or severe skin allergies..
Stent,Plus963,Synthes,Rev. 1.3,2021-06-16,Class I,D500579,Adult,Indicated for diagnostic quality control to assess cardiac disorders in clinical environments.,Avoid use in patients with active severe osteoporosis or compromised cardiovascular function.,Autoclave,8,10,13.0,0.06,37.0,Device Name: Stent. Model: Plus963. Manufacturer: Synthes. Indications: Indicated for diagnostic quality control to assess cardiac disorders in clinical environments.. Contraindications: Avoid use in patients with active severe osteoporosis or compromised cardiovascular function..
Infusion Pump,C-5793,Zeiss Medical Technology,v7.6,2015-05-19,Class III,HC-569741,Adult (18-65),Intended for patient rehabilitation evaluation in rehabilitation medicine for orthopedic injuries recovery.,Not recommended for use in post-operative patients or those with coagulopathy.,Chemical Sterilization,13,13,5.0,2.57,16.0,Device Name: Infusion Pump. Model: C-5793. Manufacturer: Zeiss Medical Technology. Indications: Intended for patient rehabilitation evaluation in rehabilitation medicine for orthopedic injuries recovery.. Contraindications: Not recommended for use in post-operative patients or those with coagulopathy..
Ultrasound Scanner,Plus388,Roche,v3.0,2015-04-28,Class IIb,HDE842848,Adult (>65),Intended for surgical neurological procedures in operating room settings.,Avoid use if patient has pregnancy or is receiving radioactive materials.,Steam Sterilization,3,15,8.0,19.82,36.0,Device Name: Ultrasound Scanner. Model: Plus388. Manufacturer: Roche. Indications: Intended for surgical neurological procedures in operating room settings.. Contraindications: Avoid use if patient has pregnancy or is receiving radioactive materials..
Catheter,Pro753,Karl Storz,2021-07-N,2019-05-14,Class IIb,MDR-615208,Adult and Pediatric,Used for long-term fluid resuscitation delivery in ambulatory care settings for sleep apnea patients.,Do not use in patients with renal insufficiency. Contraindicated in sterile surgical fields.,Hydrogen Peroxide Plasma,8,6,5.0,7.88,31.0,Device Name: Catheter. Model: Pro753. Manufacturer: Karl Storz. Indications: Used for long-term fluid resuscitation delivery in ambulatory care settings for sleep apnea patients.. Contraindications: Do not use in patients with renal insufficiency. Contraindicated in sterile surgical fields..
Pacemaker,Model 7038,Sonova,Rev. 3.1,2019-02-19,Class II,BLA372006,Pediatric,Designed for disease management assistance in geriatric care facilities for elderly patients.,Contraindicated in presence of radio frequencies or strong magnetic fields exposure.,Hydrogen Peroxide Plasma,7,9,17.0,0.02,37.0,Device Name: Pacemaker. Model: Model 7038. Manufacturer: Sonova. Indications: Designed for disease management assistance in geriatric care facilities for elderly patients.. Contraindications: Contraindicated in presence of radio frequencies or strong magnetic fields exposure..
Pacemaker,BOS224,Boston Scientific,Rev. 3.2,2020-06-07,Class II,CE9619,All,Used for long-term thermal therapy delivery in ambulatory care settings for hypertension patients.,Contraindicated in presence of electromagnetic fields or MRI environments exposure.,,6,6,9.0,0.15,37.0,Device Name: Pacemaker. Model: BOS224. Manufacturer: Boston Scientific. Indications: Used for long-term thermal therapy delivery in ambulatory care settings for hypertension patients.. Contraindications: Contraindicated in presence of electromagnetic fields or MRI environments exposure..
Blood Pressure Monitor,Pro737,Sonova,2024-05-A,2023-11-07,Class IIb,P765392,Adult,Designed for continuous monitoring assistance in geriatric care facilities for elderly patients.,Contraindicated in patients with pulmonary edema or on magnetic materials.,,15,10,5.0,7.52,14.0,Device Name: Blood Pressure Monitor. Model: Pro737. Manufacturer: Sonova. Indications: Designed for continuous monitoring assistance in geriatric care facilities for elderly patients.. Contraindications: Contraindicated in patients with pulmonary edema or on magnetic materials..
Surgical Robot,B-3032,Siemens Healthineers,2024-03-E,2018-08-27,Class I,K680036,Adult and Pediatric,Designed for dialysis optimization in chronic disease management programs.,Not recommended for patients with metal implants or severe active infections.,Steam Sterilization,11,24,12.0,8.12,17.0,Device Name: Surgical Robot. Model: B-3032. Manufacturer: Siemens Healthineers. Indications: Designed for dialysis optimization in chronic disease management programs.. Contraindications: Not recommended for patients with metal implants or severe active infections..
Dialysis Machine,X-5918,Abbott,Rev. 7.2,2019-11-12,Class IIb,TGA-572803,Adult (18-65),Used for post-operative electrotherapy management in hospital recovery units.,Do not use in patients with pregnancy. Contraindicated in chemical exposure areas.,Ethylene Oxide (EtO),11,20,13.0,58.92,14.0,Device Name: Dialysis Machine. Model: X-5918. Manufacturer: Abbott. Indications: Used for post-operative electrotherapy management in hospital recovery units.. Contraindications: Do not use in patients with pregnancy. Contraindicated in chemical exposure areas..
Surgical Drill,A-5094,Medtronic,Rev. 9.0,2023-02-17,Class IIa,K724927,Neonatal,Indicated for emergency central venous pressure stabilization in trauma center resuscitation rooms.,Contraindicated in presence of radio frequencies or MRI environments exposure.,Pre-Sterilized,16,16,3.0,8.11,37.0,Device Name: Surgical Drill. Model: A-5094. Manufacturer: Medtronic. Indications: Indicated for emergency central venous pressure stabilization in trauma center resuscitation rooms.. Contraindications: Contraindicated in presence of radio frequencies or MRI environments exposure..
X-Ray Machine,Z-1788,Cooper Companies,Version 13,2021-12-13,Class III,HC-257215,Pediatric (2-18),Intended for surgical assistance evaluation in rehabilitation medicine for critical illness recovery.,Do not use in combination with alcohol-based solutions or drug delivery modalities.,Hydrogen Peroxide Plasma,6,11,15.0,5.03,18.0,Device Name: X-Ray Machine. Model: Z-1788. Manufacturer: Cooper Companies. Indications: Intended for surgical assistance evaluation in rehabilitation medicine for critical illness recovery.. Contraindications: Do not use in combination with alcohol-based solutions or drug delivery modalities..
Ultrasound Scanner,Plus572,ConvaTec,Rev. 3.8,2023-01-27,Class II,IDE922492,All,Indicated for emergency hemoglobin levels stabilization in trauma center resuscitation rooms.,Avoid use in patients with active active infections or compromised respiratory function.,Gamma Irradiation,7,4,6.0,6.42,17.0,Device Name: Ultrasound Scanner. Model: Plus572. Manufacturer: ConvaTec. Indications: Indicated for emergency hemoglobin levels stabilization in trauma center resuscitation rooms.. Contraindications: Avoid use in patients with active active infections or compromised respiratory function..
CPAP Machine,Model 1671,Hologic,Version 4,2016-09-26,Class III,H730911,Infant (0-2),Used for emergency mechanical ventilation in acute renal failure situations requiring immediate care.,None,Pre-Sterilized,10,10,10.0,4.17,30.0,Device Name: CPAP Machine. Model: Model 1671. Manufacturer: Hologic. Indications: Used for emergency mechanical ventilation in acute renal failure situations requiring immediate care.. Contraindications: None.
Surgical Drill,Model 3982,Siemens Healthineers,Rev. 3.3,2025-10-09,Class I,HC-209819,Adult,Used for therapeutic oxygen therapy in pregnant patients requiring blood transfusion.,Avoid use in patients with renal insufficiency or uncontrolled thrombocytopenia.,,12,18,3.0,19.25,33.0,Device Name: Surgical Drill. Model: Model 3982. Manufacturer: Siemens Healthineers. Indications: Used for therapeutic oxygen therapy in pregnant patients requiring blood transfusion.. Contraindications: Avoid use in patients with renal insufficiency or uncontrolled thrombocytopenia..
Blood Pressure Monitor,OLY134,Olympus Corporation,Version 18,2018-08-27,Class IIa,P100333,Adult (>65),Indicated for continuous pulmonary function monitoring during oncological surgical procedures.,Avoid use in patients with thrombocytopenia or altered consciousness.,Dry Heat,14,15,9.0,2.32,14.0,Device Name: Blood Pressure Monitor. Model: OLY134. Manufacturer: Olympus Corporation. Indications: Indicated for continuous pulmonary function monitoring during oncological surgical procedures.. Contraindications: Avoid use in patients with thrombocytopenia or altered consciousness..
Ultrasound Scanner,A-4705,Abbott,Rev. 5.2,2022-10-09,Class III,D375388,All,Intended for assessment support in cardiac catheterization laboratory environments.,Do not use during general anesthesia administration or in comatose.,Pre-Sterilized,7,13,7.0,0.71,19.0,Device Name: Ultrasound Scanner. Model: A-4705. Manufacturer: Abbott. Indications: Intended for assessment support in cardiac catheterization laboratory environments.. Contraindications: Do not use during general anesthesia administration or in comatose..
Wound Care System,Z-9967,Alcon,Version 11,2015-09-17,Class I,D308485,Adult and Pediatric,Indicated for real-time temperature assessment in emergency department triage protocols.,Contraindicated in patients with epilepsy or severe pulmonary edema.,Ethylene Oxide (EtO),10,5,10.0,15.74,15.0,Device Name: Wound Care System. Model: Z-9967. Manufacturer: Alcon. Indications: Indicated for real-time temperature assessment in emergency department triage protocols.. Contraindications: Contraindicated in patients with epilepsy or severe pulmonary edema..
Defibrillator,DEX733,Dexcom,Version 14,2019-07-28,Class III,PMDA-333037,Infant (0-2),Intended for pacemaker implantation delivery in palliative care settings for terminal patients.,None,Pre-Sterilized,18,13,8.0,17.15,32.0,Device Name: Defibrillator. Model: DEX733. Manufacturer: Dexcom. Indications: Intended for pacemaker implantation delivery in palliative care settings for terminal patients.. Contraindications: None.
Pacemaker,Model 7843,Fresenius Medical Care,v14.9,2020-08-01,Class I,MDR-475753,Infant (0-2),Used for post-operative oxygen therapy management in hospital recovery units.,Contraindicated in patients with immunodeficiency or frostbite risk.,Gamma Irradiation,6,4,13.0,0.12,41.0,Device Name: Pacemaker. Model: Model 7843. Manufacturer: Fresenius Medical Care. Indications: Used for post-operative oxygen therapy management in hospital recovery units.. Contraindications: Contraindicated in patients with immunodeficiency or frostbite risk..
Syringe Pump,Model 110,Waters Corporation,v3.6,2023-06-16,Class I,HC-177323,Adult (>65),Intended for emergency resuscitation therapy in intensive care unit environments for critically ill patients.,None,Gamma Irradiation,12,20,5.0,5.62,37.0,Device Name: Syringe Pump. Model: Model 110. Manufacturer: Waters Corporation. Indications: Intended for emergency resuscitation therapy in intensive care unit environments for critically ill patients.. Contraindications: None.
Infusion Pump,Model 3075,Thermo Fisher Scientific,Rev. 5.5,2021-07-26,Class I,NMPA-887560,Adult,Indicated for emergency electrolyte balance stabilization in trauma center resuscitation rooms.,Do not use if patient has known allergy to chemotherapy drugs or hypersensitivity to petroleum products.,Ethylene Oxide (EtO),12,13,8.0,2.63,22.0,Device Name: Infusion Pump. Model: Model 3075. Manufacturer: Thermo Fisher Scientific. Indications: Indicated for emergency electrolyte balance stabilization in trauma center resuscitation rooms.. Contraindications: Do not use if patient has known allergy to chemotherapy drugs or hypersensitivity to petroleum products..
CPAP Machine,Model 3152,Getinge,2021-09-I,2017-12-26,Class II,UKCA11461,Adult (18-65),Indicated for real-time hemoglobin levels assessment in emergency department triage protocols.,Do not use if malformations is present or wound is infected.,Pre-Sterilized,7,4,9.0,6.03,27.0,Device Name: CPAP Machine. Model: Model 3152. Manufacturer: Getinge. Indications: Indicated for real-time hemoglobin levels assessment in emergency department triage protocols.. Contraindications: Do not use if malformations is present or wound is infected..
Wound Care System,Plus277,Cardinal Health,2020-12-P,2017-06-03,Class IIa,HC-831092,Neonatal,Indicated for emergency temperature stabilization in trauma center resuscitation rooms.,Not recommended in presence of malignant hyperthermia or at open wounds locations.,Not Applicable,8,11,7.0,8.24,10.0,Device Name: Wound Care System. Model: Plus277. Manufacturer: Cardinal Health. Indications: Indicated for emergency temperature stabilization in trauma center resuscitation rooms.. Contraindications: Not recommended in presence of malignant hyperthermia or at open wounds locations..
Blood Glucose Monitor,Max125,B. Braun,2020-05-M,2025-12-18,Class III,PMA408643,Geriatric,Used for post-operative dialysis management in hospital recovery units.,Contraindicated in presence of metallic particles or during MRI scanning.,Autoclave,6,8,6.0,0.2,29.0,Device Name: Blood Glucose Monitor. Model: Max125. Manufacturer: B. Braun. Indications: Used for post-operative dialysis management in hospital recovery units.. Contraindications: Contraindicated in presence of metallic particles or during MRI scanning..
Ultrasound Scanner,B-6541,Terumo,Rev. 8.9,2020-08-18,Class III,IDE983420,Adult,Intended for defibrillation delivery in palliative care settings for terminal patients.,Not suitable for use in extreme temperature environments with radiation or during oxygen-rich environments.,,5,8,14.0,15.69,17.0,Device Name: Ultrasound Scanner. Model: B-6541. Manufacturer: Terumo. Indications: Intended for defibrillation delivery in palliative care settings for terminal patients.. Contraindications: Not suitable for use in extreme temperature environments with radiation or during oxygen-rich environments..
ECG Machine,Z-7847,Synthes,v3.5,2025-07-23,Class I,K249556,Adult (>65),Indicated for real-time glucose levels assessment in emergency department triage protocols.,Contraindicated in presence of radio frequencies or MRI environments exposure.,Single-Use Sterile,8,7,12.0,19.1,,Device Name: ECG Machine. Model: Z-7847. Manufacturer: Synthes. Indications: Indicated for real-time glucose levels assessment in emergency department triage protocols.. Contraindications: Contraindicated in presence of radio frequencies or MRI environments exposure..
Nebulizer,Max135,Boston Scientific,Version 8,2024-08-23,Class IIb,K711326,All,Used for drug delivery administration in pediatric hospital units under specialist supervision.,Avoid use in patients with severe cardiac arrhythmias or uncontrolled coagulopathy.,Steam Sterilization,4,11,9.0,5.27,25.0,Device Name: Nebulizer. Model: Max135. Manufacturer: Boston Scientific. Indications: Used for drug delivery administration in pediatric hospital units under specialist supervision.. Contraindications: Avoid use in patients with severe cardiac arrhythmias or uncontrolled coagulopathy..
Stent,STR958,Stryker,Rev. 5.2,2021-12-19,Class IIa,P368538,Geriatric,Designed for respiratory support optimization in chronic disease management programs.,Not recommended in presence of autoimmune disorders or at open wounds locations.,Steam Sterilization,10,8,5.0,0.04,40.0,Device Name: Stent. Model: STR958. Manufacturer: Stryker. Indications: Designed for respiratory support optimization in chronic disease management programs.. Contraindications: Not recommended in presence of autoimmune disorders or at open wounds locations..
Orthopedic Implant,C-8477,Zeiss Medical Technology,v6.8,2017-08-31,Class I,HDE118915,Pediatric (2-18),Indicated for emergency pH levels stabilization in trauma center resuscitation rooms.,"Not recommended during pregnancy, lactation, or in trauma under 16 years.",Chemical Sterilization,2,8,11.0,0.13,37.0,"Device Name: Orthopedic Implant. Model: C-8477. Manufacturer: Zeiss Medical Technology. Indications: Indicated for emergency pH levels stabilization in trauma center resuscitation rooms.. Contraindications: Not recommended during pregnancy, lactation, or in trauma under 16 years.."
Surgical Robot,Max679,Karl Storz,Rev. 4.1,2023-09-30,Class IIa,BLA449774,Infant (0-2),Intended for hemodialysis delivery in palliative care settings for terminal patients.,Do not use if sensor failure is detected or quality control has expired.,Pre-Sterilized,21,29,11.0,0.85,10.0,Device Name: Surgical Robot. Model: Max679. Manufacturer: Karl Storz. Indications: Intended for hemodialysis delivery in palliative care settings for terminal patients.. Contraindications: Do not use if sensor failure is detected or quality control has expired..
ECG Machine,Plus703,Becton Dickinson,v8.5,2015-10-14,Class IIb,K391280,Geriatric,Used for intraoperative monitoring monitoring during complex laparoscopic surgeries.,Avoid use if patient has severe hypertension or is receiving radioactive materials.,Not Applicable,8,8,12.0,11.94,30.0,Device Name: ECG Machine. Model: Plus703. Manufacturer: Becton Dickinson. Indications: Used for intraoperative monitoring monitoring during complex laparoscopic surgeries.. Contraindications: Avoid use if patient has severe hypertension or is receiving radioactive materials..
Syringe Pump,Model 3713,Getinge,Version 19,2021-07-28,Class IIb,H584489,Pediatric,Indicated for glucose levels surveillance in infection control protocols.,Contraindicated in presence of radioactive materials or during high-frequency procedures.,Steam Sterilization,10,13,12.0,2.54,27.0,Device Name: Syringe Pump. Model: Model 3713. Manufacturer: Getinge. Indications: Indicated for glucose levels surveillance in infection control protocols.. Contraindications: Contraindicated in presence of radioactive materials or during high-frequency procedures..
Pulse Oximeter,Max397,Hologic,v2.6,2016-05-18,Class I,CE3986,Adult (>65),Intended for tissue regeneration evaluation in rehabilitation medicine for diabetes recovery.,Avoid use in patients with metal implants or uncontrolled malignant hyperthermia.,Chemical Sterilization,2,3,7.0,0.27,16.0,Device Name: Pulse Oximeter. Model: Max397. Manufacturer: Hologic. Indications: Intended for tissue regeneration evaluation in rehabilitation medicine for diabetes recovery.. Contraindications: Avoid use in patients with metal implants or uncontrolled malignant hyperthermia..
Dialysis Machine,Pro386,Dentsply Sirona,v5.0,2025-12-11,Class I,MDR-388663,Adult (18-65),Intended for blood transfusion delivery in palliative care settings for terminal patients.,Do not use if patient has known allergy to conductive gels or hypersensitivity to blood thinners.,Not Applicable,12,11,10.0,115.83,20.0,Device Name: Dialysis Machine. Model: Pro386. Manufacturer: Dentsply Sirona. Indications: Intended for blood transfusion delivery in palliative care settings for terminal patients.. Contraindications: Do not use if patient has known allergy to conductive gels or hypersensitivity to blood thinners..
Pulse Oximeter,B-5187,Coloplast,Rev. 10.8,2024-11-16,Class III,MDR-941817,Geriatric,Used for intraoperative infection prevention monitoring during complex neurological surgeries.,Avoid use in patients with metal implants or altered cognitive function.,Gamma Irradiation,6,3,5.0,0.28,31.0,Device Name: Pulse Oximeter. Model: B-5187. Manufacturer: Coloplast. Indications: Used for intraoperative infection prevention monitoring during complex neurological surgeries.. Contraindications: Avoid use in patients with metal implants or altered cognitive function..
Insulin Pump,NIP696,Nipro Corporation,Rev. 3.7,2022-03-20,Class III,Q169658,Adult (18-65),Indicated for central venous pressure analysis in laboratory diagnostic testing environments.,Not suitable for use with gadolinium agents or in training scenarios.,Not Applicable,8,18,12.0,1.85,13.0,Device Name: Insulin Pump. Model: NIP696. Manufacturer: Nipro Corporation. Indications: Indicated for central venous pressure analysis in laboratory diagnostic testing environments.. Contraindications: Not suitable for use with gadolinium agents or in training scenarios..
Digital Thermometer,Z-2960,Johnson & Johnson,v4.5,2016-10-07,Class II,HC-979255,Adult,Used for electrotherapy guidance in oncology treatment centers for cancer patients.,Not recommended for use in pediatric patients or those with respiratory failure.,Not Applicable,9,14,5.0,0.25,23.0,Device Name: Digital Thermometer. Model: Z-2960. Manufacturer: Johnson & Johnson. Indications: Used for electrotherapy guidance in oncology treatment centers for cancer patients.. Contraindications: Not recommended for use in pediatric patients or those with respiratory failure..
Surgical Drill,Pro342,Boston Scientific,v9.6,2018-03-09,Class IIb,IDE643006,All,Designed for perioperative electrolyte balance management during thoracic interventions.,Avoid use in patients with respiratory failure or severe hepatic dysfunction.,Ethylene Oxide (EtO),20,18,13.0,1.77,19.0,Device Name: Surgical Drill. Model: Pro342. Manufacturer: Boston Scientific. Indications: Designed for perioperative electrolyte balance management during thoracic interventions.. Contraindications: Avoid use in patients with respiratory failure or severe hepatic dysfunction..
Blood Glucose Monitor,ALI577,Align Technology,Version 3,2018-09-03,Class I,IDE560766,Pediatric (2-18),Designed for therapeutic delivery assistance in geriatric care facilities for elderly patients.,Not recommended for patients with epilepsy or severe thrombocytopenia.,Chemical Sterilization,11,14,3.0,0.38,16.0,Device Name: Blood Glucose Monitor. Model: ALI577. Manufacturer: Align Technology. Indications: Designed for therapeutic delivery assistance in geriatric care facilities for elderly patients.. Contraindications: Not recommended for patients with epilepsy or severe thrombocytopenia..
Surgical Robot,BIO146,BioMérieux,v6.7,2015-05-02,Class III,BLA631713,Infant (0-2),Used for therapeutic drug delivery in neonatal patients requiring wound debridement.,Avoid use in patients with mesh implants or mesh implants. Not suitable for infectious disease isolation.,,22,28,11.0,,38.0,Device Name: Surgical Robot. Model: BIO146. Manufacturer: BioMérieux. Indications: Used for therapeutic drug delivery in neonatal patients requiring wound debridement.. Contraindications: Avoid use in patients with mesh implants or mesh implants. Not suitable for infectious disease isolation..
Nebulizer,Model 3793,Mölnlycke Health Care,2023-02-J,2023-12-09,Class IIb,P211941,Adult,Designed for perioperative glucose levels management during endoscopic interventions.,Not recommended in presence of thrombocytopenia or at open wounds locations.,Autoclave,2,9,12.0,3.93,12.0,Device Name: Nebulizer. Model: Model 3793. Manufacturer: Mölnlycke Health Care. Indications: Designed for perioperative glucose levels management during endoscopic interventions.. Contraindications: Not recommended in presence of thrombocytopenia or at open wounds locations..
X-Ray Machine,EDW776,Edwards Lifesciences,Version 11,2024-05-07,Class IIb,MDR-261223,All,Indicated for blood pressure analysis in laboratory diagnostic testing environments.,Not suitable for use in explosive atmospheres with radiation or during underwater environments.,Not Applicable,5,15,9.0,14.93,27.0,Device Name: X-Ray Machine. Model: EDW776. Manufacturer: Edwards Lifesciences. Indications: Indicated for blood pressure analysis in laboratory diagnostic testing environments.. Contraindications: Not suitable for use in explosive atmospheres with radiation or during underwater environments..
Catheter,Z-9504,Smith & Nephew,v10.1,2024-04-22,Class III,HDE670801,Adult (18-65),Designed for emergency resuscitation assistance in geriatric care facilities for elderly patients.,Not suitable for use during microwave diathermy or CT scan.,Pre-Sterilized,7,6,11.0,6.44,25.0,Device Name: Catheter. Model: Z-9504. Manufacturer: Smith & Nephew. Indications: Designed for emergency resuscitation assistance in geriatric care facilities for elderly patients.. Contraindications: Not suitable for use during microwave diathermy or CT scan..
Digital Thermometer,Plus481,Olympus Corporation,v4.8,2025-07-31,Class III,TGA-848904,All,Designed for life support assistance in geriatric care facilities for elderly patients.,Contraindicated in patients with peripheral vascular disease or burns risk.,Ethylene Oxide (EtO),8,5,7.0,0.44,32.0,Device Name: Digital Thermometer. Model: Plus481. Manufacturer: Olympus Corporation. Indications: Designed for life support assistance in geriatric care facilities for elderly patients.. Contraindications: Contraindicated in patients with peripheral vascular disease or burns risk..
Blood Pressure Monitor,Model 6473,Hologic,Rev. 8.9,2015-09-22,Class IIb,HDE598453,Pediatric (2-18),Designed for catheterization support in neonatal intensive care environments.,Avoid use if patient has immunodeficiency or history of blood clots.,Steam Sterilization,11,18,8.0,1.55,,Device Name: Blood Pressure Monitor. Model: Model 6473. Manufacturer: Hologic. Indications: Designed for catheterization support in neonatal intensive care environments.. Contraindications: Avoid use if patient has immunodeficiency or history of blood clots..
ECG Machine,Pro444,Thermo Fisher Scientific,v7.8,2025-05-19,Class III,BLA224453,Pediatric (2-18),Intended for surgical neurological procedures in operating room settings.,Contraindicated in patients with cardiomyopathy or severe coagulopathy.,UV Sterilization,3,13,15.0,10.21,24.0,Device Name: ECG Machine. Model: Pro444. Manufacturer: Thermo Fisher Scientific. Indications: Intended for surgical neurological procedures in operating room settings.. Contraindications: Contraindicated in patients with cardiomyopathy or severe coagulopathy..
Pacemaker,Pro162,Waters Corporation,2023-05-F,2019-04-06,Class IIa,UKCA37019,All,Intended for surgical minimally invasive procedures in operating room settings.,Do not use during local anesthesia administration or in comatose.,Hydrogen Peroxide Plasma,5,12,13.0,0.06,38.0,Device Name: Pacemaker. Model: Pro162. Manufacturer: Waters Corporation. Indications: Intended for surgical minimally invasive procedures in operating room settings.. Contraindications: Do not use during local anesthesia administration or in comatose..
Catheter,Pro746,Karl Storz,v2.5,2018-12-25,Class II,HDE254641,All,Intended for monitoring guidance during minimally invasive orthopedic procedures.,Not suitable for use in unsupervised use with radiation or during patient transport.,Single-Use Sterile,8,7,,3.85,39.0,Device Name: Catheter. Model: Pro746. Manufacturer: Karl Storz. Indications: Intended for monitoring guidance during minimally invasive orthopedic procedures.. Contraindications: Not suitable for use in unsupervised use with radiation or during patient transport..
Stent,PHI503,Philips Healthcare,2023-02-B,2016-07-15,Class I,BLA796815,Geriatric,Intended for monitoring support in cardiac catheterization laboratory environments.,Contraindicated in presence of cleaning solvents or during transcutaneous stimulation.,Hydrogen Peroxide Plasma,8,5,11.0,0.19,37.0,Device Name: Stent. Model: PHI503. Manufacturer: Philips Healthcare. Indications: Intended for monitoring support in cardiac catheterization laboratory environments.. Contraindications: Contraindicated in presence of cleaning solvents or during transcutaneous stimulation..
Blood Pressure Monitor,B-2609,Edwards Lifesciences,Version 10,2025-03-28,Class IIa,TGA-453392,Adult and Pediatric,Intended for wound debridement delivery in palliative care settings for terminal patients.,Contraindicated in patients with severe hepatic dysfunction or uncontrolled stroke.,Gamma Irradiation,13,11,10.0,5.74,21.0,Device Name: Blood Pressure Monitor. Model: B-2609. Manufacturer: Edwards Lifesciences. Indications: Intended for wound debridement delivery in palliative care settings for terminal patients.. Contraindications: Contraindicated in patients with severe hepatic dysfunction or uncontrolled stroke..
